Time,sm_surface
"Oct 21, 2022",0.302
"Oct 22, 2022",0.295
"Oct 22, 2022",0.293
"Oct 22, 2022",0.287
"Oct 22, 2022",0.28
"Oct 22, 2022",0.278
"Oct 22, 2022",0.301
"Oct 22, 2022",0.296
"Oct 22, 2022",0.291
"Oct 23, 2022",0.288
"Oct 23, 2022",0.285
"Oct 23, 2022",0.28
"Oct 23, 2022",0.27
"Oct 23, 2022",0.258
"Oct 23, 2022",0.254
"Oct 23, 2022",0.26
"Oct 23, 2022",0.283
"Oct 24, 2022",0.289
"Oct 24, 2022",0.289
"Oct 24, 2022",0.283
"Oct 24, 2022",0.272
"Oct 24, 2022",0.26
"Oct 24, 2022",0.256
"Oct 24, 2022",0.258
"Oct 24, 2022",0.263
"Oct 25, 2022",0.268
"Oct 25, 2022",0.27
"Oct 25, 2022",0.267
"Oct 25, 2022",0.257
"Oct 25, 2022",0.246
"Oct 25, 2022",0.25
"Oct 25, 2022",0.248
"Oct 25, 2022",0.248
"Oct 26, 2022",0.25
"Oct 26, 2022",0.252
"Oct 26, 2022",0.251
"Oct 26, 2022",0.243
"Oct 26, 2022",0.234
"Oct 26, 2022",0.229
"Oct 26, 2022",0.229
"Oct 26, 2022",0.23
"Oct 27, 2022",0.238
"Oct 27, 2022",0.223
"Oct 27, 2022",0.229
"Oct 27, 2022",0.227
"Oct 27, 2022",0.227
"Oct 27, 2022",0.23
"Oct 27, 2022",0.24
"Oct 27, 2022",0.25
"Oct 28, 2022",0.302
"Oct 28, 2022",0.303
"Oct 28, 2022",0.286
"Oct 28, 2022",0.274
"Oct 28, 2022",0.264
"Oct 28, 2022",0.26
"Oct 28, 2022",0.295
"Oct 28, 2022",0.289
"Oct 29, 2022",0.286
"Oct 29, 2022",0.295
"Oct 29, 2022",0.288
"Oct 29, 2022",0.28
"Oct 29, 2022",0.27
"Oct 29, 2022",0.266
"Oct 29, 2022",0.266
"Oct 29, 2022",0.266
"Oct 30, 2022",0.267
"Oct 30, 2022",0.277
"Oct 30, 2022",0.273
"Oct 30, 2022",0.264
"Oct 30, 2022",0.256
"Oct 30, 2022",0.258
"Oct 30, 2022",0.259
"Oct 30, 2022",0.261
"Oct 31, 2022",0.262
"Oct 31, 2022",0.264
"Oct 31, 2022",0.262
"Oct 31, 2022",0.255
"Oct 31, 2022",0.248
"Oct 31, 2022",0.25
"Oct 31, 2022",0.257
"Oct 31, 2022",0.259
"Nov 1, 2022",0.259
"Nov 1, 2022",0.246
"Nov 1, 2022",0.246
"Nov 1, 2022",0.245
"Nov 1, 2022",0.275
"Nov 1, 2022",0.305
"Nov 1, 2022",0.335
"Nov 1, 2022",0.351
"Nov 2, 2022",0.326
"Nov 2, 2022",0.313
"Nov 2, 2022",0.305
"Nov 2, 2022",0.298
"Nov 2, 2022",0.295
"Nov 2, 2022",0.311
"Nov 2, 2022",0.305
"Nov 2, 2022",0.302
"Nov 3, 2022",0.299
"Nov 3, 2022",0.297
"Nov 3, 2022",0.294
"Nov 3, 2022",0.287
"Nov 3, 2022",0.276
"Nov 3, 2022",0.277
"Nov 3, 2022",0.291
"Nov 3, 2022",0.298
"Nov 4, 2022",0.304
"Nov 4, 2022",0.328
"Nov 4, 2022",0.312
"Nov 4, 2022",0.305
"Nov 4, 2022",0.297
"Nov 4, 2022",0.297
"Nov 4, 2022",0.303
"Nov 4, 2022",0.303
"Nov 5, 2022",0.307
"Nov 5, 2022",0.309
"Nov 5, 2022",0.302
"Nov 5, 2022",0.292
"Nov 5, 2022",0.288
"Nov 5, 2022",0.29
"Nov 5, 2022",0.324
"Nov 5, 2022",0.317
"Nov 6, 2022",0.312
"Nov 6, 2022",0.316
"Nov 6, 2022",0.308
"Nov 6, 2022",0.293
"Nov 6, 2022",0.279
"Nov 6, 2022",0.274
"Nov 6, 2022",0.276
"Nov 6, 2022",0.281
"Nov 7, 2022",0.284
"Nov 7, 2022",0.32
"Nov 7, 2022",0.308
"Nov 7, 2022",0.303
"Nov 7, 2022",0.311
"Nov 7, 2022",0.332
"Nov 7, 2022",0.338
"Nov 7, 2022",0.331
"Nov 8, 2022",0.339
"Nov 8, 2022",0.354
"Nov 8, 2022",0.349
"Nov 8, 2022",0.355
"Nov 8, 2022",0.338
"Nov 8, 2022",0.331
"Nov 8, 2022",0.328
"Nov 8, 2022",0.324
"Nov 9, 2022",0.321
"Nov 9, 2022",0.338
"Nov 9, 2022",0.326
"Nov 9, 2022",0.311
"Nov 9, 2022",0.297
"Nov 9, 2022",0.29
"Nov 9, 2022",0.29
"Nov 9, 2022",0.291
"Nov 10, 2022",0.293
"Nov 10, 2022",0.294
"Nov 10, 2022",0.293
"Nov 10, 2022",0.294
"Nov 10, 2022",0.287
"Nov 10, 2022",0.352
"Nov 10, 2022",0.341
"Nov 10, 2022",0.334
"Nov 11, 2022",0.337
"Nov 11, 2022",0.334
"Nov 11, 2022",0.326
"Nov 11, 2022",0.333
"Nov 11, 2022",0.336
"Nov 11, 2022",0.343
"Nov 11, 2022",0.336
"Nov 11, 2022",0.331
"Nov 12, 2022",0.332
"Nov 12, 2022",0.355
"Nov 12, 2022",0.345
"Nov 12, 2022",0.337
"Nov 12, 2022",0.333
"Nov 12, 2022",0.335
"Nov 12, 2022",0.331
"Nov 12, 2022",0.33
"Nov 13, 2022",0.331
"Nov 13, 2022",0.339
"Nov 13, 2022",0.34
"Nov 13, 2022",0.329
"Nov 13, 2022",0.319
"Nov 13, 2022",0.314
"Nov 13, 2022",0.357
"Nov 13, 2022",0.344
"Nov 14, 2022",0.34
"Nov 14, 2022",0.35
"Nov 14, 2022",0.34
"Nov 14, 2022",0.326
"Nov 14, 2022",0.312
"Nov 14, 2022",0.306
"Nov 14, 2022",0.306
"Nov 14, 2022",0.307
"Nov 15, 2022",0.309
"Nov 15, 2022",0.346
"Nov 15, 2022",0.335
"Nov 15, 2022",0.321
"Nov 15, 2022",0.307
"Nov 15, 2022",0.349
"Nov 15, 2022",0.34
"Nov 15, 2022",0.337
"Nov 16, 2022",0.334
"Nov 16, 2022",0.332
"Nov 16, 2022",0.325
"Nov 16, 2022",0.31
"Nov 16, 2022",0.296
"Nov 16, 2022",0.292
"Nov 16, 2022",0.294
"Nov 16, 2022",0.304
"Nov 17, 2022",0.359
"Nov 17, 2022",0.342
"Nov 17, 2022",0.33
"Nov 17, 2022",0.311
"Nov 17, 2022",0.295
"Nov 17, 2022",0.287
"Nov 17, 2022",0.286
"Nov 17, 2022",0.289
"Nov 18, 2022",0.293
"Nov 18, 2022",0.296
"Nov 18, 2022",0.292
"Nov 18, 2022",0.281
"Nov 18, 2022",0.272
"Nov 18, 2022",0.272
"Nov 18, 2022",0.278
"Nov 18, 2022",0.28
"Nov 19, 2022",0.283
"Nov 19, 2022",0.286
"Nov 19, 2022",0.283
"Nov 19, 2022",0.272
"Nov 19, 2022",0.263
"Nov 19, 2022",0.258
"Nov 19, 2022",0.26
"Nov 19, 2022",0.263
